Fu_r1	Fu_r2	Fu_r3	Mb_r1	Mb_r2	Mb_r3	Mb_r4	Fd_r1	Fd_r2	Fd_r3	Fc_r1	Fc_r2	Fc_r3	baseMean_FuMb	baseMean_Fu	baseMean_Mb	FC_MbByFu	log2FC_MbByFu	pval_FuMb	padj_FuMb	baseMean_Fd	baseMean_Fc	crl_wFd	crl_wFc	mbStatus
chr3:184377457-184377982	4.76851237382063	6.52054968587465	7.92160034614712	44.1321310694767	17.4715219811329	25.8686035933538	40.834369808468	56.4439407849384	53.7472842071338	22.4537964787547	16.6088929275098	20.8071943770196	9.33403967698484	21.4285714285714	6.66666666666667	32.5	4.875	2.28540221886225	9.51339826694458e-05	0.00616982647809806	44.2150071569423	15.5833756605048	1.45348414801067	0.345162928793733	mbOpen
chr1:42024116-42024951	2.05633406595927	1.76851823111077	3.17730924476374	14.8890350183279	15.7171268674125	17.4694827992376	26.9146089295596	33.1937348194108	27.8683276567123	15.9488169311426	2.86332565922397	5.66902601290055	2.87322142002995	12.1428571428571	3	19	6.33333333333333	2.66296501272243	3.11789503323604e-06	0.000590744251112286	25.6702931357552	3.80185769738483	1.4168933209847	0.0501161060865516	mbOpen
chr11:19870949-19871342	4.03554012691946	2.80107432995962	4.0139722733175	14.3793016889935	13.1062063011728	23.5501565085098	16.470329305606	22.1194347216271	23.9029353746448	14.3074911287858	7.31990731146269	9.7748810734281	4.80581320837125	11.8571428571429	4.33333333333333	17.5	4.03846153846154	2.01380579952503	0.000190017942197338	0.00942590552075027	20.1099537416859	7.30020053108735	1.19822433481159	0.225331685905368	mbOpen
chr6:41998270-41999000	1.59799713595904	1.32407616506077	2.16094671700518	15.4823714076013	10.0521085370902	15.3656355438452	17.4500657162453	20.8245693716701	16.8528908238421	13.3780715536571	2.66217341344009	3.36691758326773	2.23761225133198	9.71428571428571	2.33333333333333	15.25	6.53571428571429	2.70834491622644	1.40897868930104e-05	0.00168342723418253	17.0185105830565	2.7555677493466	1.13691694836566	0.0326891160784465	mbOpen
chr18:45954813-45955305	0.825858116076392	1.03686407008767	1.45740124114355	9.57158801452314	9.17828546851259	10.2235899476895	20.4183877547645	12.9250397500052	18.390529910282	11.6290455280825	1.94899971097889	5.4026810602932	1.97127044753396	8.14285714285714	1.66666666666667	13	7.8	2.96347412397489	6.23042740112492e-05	0.00461831514041389	14.3148717294565	3.10765040626868	1.11601809377558	0.127145624082531	mbOpen
chr8:6631056-6631897	3.10145818836283	1.69205003389487	2.13151430036453	18.1425410489786	10.8228192277712	10.8853880888931	20.1343019205017	20.367350258839	13.5512534083443	15.6590874651587	3.66384135917857	3.11736800416703	4.37012856458119	10.1428571428571	3	15.5	5.16666666666667	2.36923380966572	6.1788063839127e-05	0.00460109128173211	16.525897044114	3.71711264264226	1.08207176352912	0.0573690114113811	mbOpen
chr1:223381042-223381366	2.50816168586163	1.74023384862668	2.65570892830603	16.8601750359526	10.8885909782701	13.6617453819495	11.187623683882	15.5957955631687	15.3061473747021	12.026334120517	6.51110273815909	4.77634284503343	4.56888998463523	8.85714285714286	2.66666666666667	13.5	5.0625	2.33985000288462	0.000166554320091182	0.00886635239883571	14.3094256861293	5.28544518927592	1.07471621718116	0.241733402087008	mbOpen
chr11:125081435-125081846	1.94534603089904	1.63317045230866	2.09355156392008	21.9992820000952	10.1287739727792	22.2739936320172	22.5525694532646	22.895893610088	25.7276055219497	14.040908985203	3.0174878250367	6.423145466142	2.11137226574133	12.2857142857143	2.33333333333333	19.75	8.46428571428571	3.08138832684066	2.37610331805629e-07	0.000104942651406886	20.8881360390803	3.85066851897334	1.06534752377494	0.0871197235774167	mbOpen
chr12:101946004-101946469	2.1422467343967	2.22300840018117	3.39245398583608	15.7986779202297	10.6216448768674	10.2763568635485	22.8289390194607	15.2871198937391	14.9206451517412	17.3957068144219	18.3395423986717	9.98409730187634	15.3685465111646	10.1428571428571	3.33333333333333	15.25	4.575	2.19377174339668	0.000159959333116102	0.00865192202062648	15.8678239533008	14.5640620705709	1.05184536671055	0.9424387751528	mbOpen
chr22:31173535-31173944	1.76257753931912	1.54268721893626	2.10378897988057	24.8702151950954	10.1783034298588	17.340608358218	24.5619725558536	21.2017766959409	21.6562410064815	18.6921636449618	7.53371780701511	8.19060707750649	6.86431325572885	12.2857142857143	2.33333333333333	19.75	8.46428571428571	3.08138832684066	4.53226855782608e-07	0.000161249302543034	20.5167271157947	7.52954604675015	1.04402260951931	0.2983471414402	mbOpen
chr3:45538011-45538445	1.66104657507263	0.835174770012408	2.64347063831383	13.8889476221799	11.3803337966436	9.38779969113644	22.4312223118046	13.76432804546	18.0739773745319	13.7513971551288	6.27488091280318	7.42514799341224	3.29325996667812	9.28571428571429	2	14.75	7.375	2.88264304936184	2.85042188203431e-05	0.00273267129545536	15.1965675250403	5.66442962429784	1.03502490392473	0.287406245042968	mbOpen
chr6:33897765-33898040	2.33545893986741	4.34470850727263	4.17187729828438	17.8094187464407	21.5522830592436	19.7542063803792	19.2066798703862	24.1751652580262	24.1890646518106	13.0930658052229	11.2511855315389	13.5719654231923	7.05356407408514	13.2857142857143	4.33333333333333	20	4.61538461538462	2.20645087746743	2.93878265814101e-05	0.00276562984303717	20.4857652383532	10.6255716762721	1.03100629180978	0.401632234655668	mbOpen
chr1:31878247-31878954	1.83537423542679	1.57602103648106	2.53550710976884	17.8510793386558	14.7702889558702	19.9208168485673	17.8712624359058	22.0925793380926	20.082136647058	12.1389471000352	4.57526992972763	6.33486363458765	3.7544095235397	11.1428571428571	2.33333333333333	17.75	7.60714285714286	2.92735469816823	1.41872285236133e-06	0.000340283708329719	18.1045543617286	4.88818102928499	1.02299812076078	0.165719850548216	mbOpen
chr2:241176013-241176272	1.36638425880668	0.621992020910142	1.6610997929945	9.4548072495583	13.6212489457897	13.9830289693804	11.7960625670761	16.3683901081147	13.8542908799603	7.6174815601339	1.7771265318331	2.95237217511765	0.985434932114109	7.85714285714286	1.66666666666667	12.5	7.5	2.90689059560852	2.87680629197619e-05	0.00273407920801691	12.6133875160696	1.90497787968829	1.01046653994489	0.0219979581250726	mbOpen
chr9:37676199-37676945	2.16110134707597	1.72757033153594	2.2107174858955	23.7354853885076	8.79611322673555	18.2725428271493	24.1560119801813	22.9036450586654	23.2190452022429	12.0993891925491	6.70121487757695	11.4704540047578	5.47405141914326	12.1428571428571	2.66666666666667	19.25	7.21875	2.85174904141606	1.16601765688667e-05	0.00147428141669992	19.4073598178191	7.88190676715933	1.00948903424035	0.314486840230713	mbOpen
chr14:91807751-91808007	1.53599619371063	1.04880164984197	1.96066010722593	11.037237429247	11.300315824636	12.3785310163509	11.1251927481461	11.4583251697884	13.0853072564451	12.3307982754668	2.54709899728553	3.91150870857058	3.58913879180936	7.85714285714286	2	12.25	6.125	2.61470984411521	9.97623406325921e-05	0.00635704495052887	12.2914769005667	3.34924883255516	1.00404652688456	0.131634032444405	mbOpen
chr17:56136541-56136906	1.2209416319687	0.993057123795576	1.5715976123674	14.9662923606812	7.15246184369876	9.9222041179987	13.61956348585	11.7321517586874	16.4283024891329	7.16199790246288	2.69720201098536	6.38467334308547	3.07671684558148	7.42857142857143	1.66666666666667	11.75	7.05	2.81762325751143	6.28056510745739e-05	0.00461831514041389	11.7741507167611	4.05286406655077	1.00239511240606	0.236647676021564	mbOpen
chr22:17738624-17739711	1.53138019778963	1.55612447181705	1.91298996399597	16.8093639891482	7.85421013269738	15.2242139618455	23.819096291088	21.9430093219866	15.6279815717659	10.7993743866093	3.34044564999274	3.63455936737497	3.33416061943815	10.1428571428571	2	16.25	8.125	3.02236781302845	2.35754045725458e-05	0.0023851195837727	16.1234550934539	3.43638854560195	0.991119655680978	0.100799196182593	mbOpen
chr18:45820691-45821281	1.57730320999347	1.45623442635685	3.03831106204503	15.9634620445606	13.9920239594666	11.850353717671	14.4816068314851	15.9858024588234	15.6389114000908	10.6170263117578	1.66860802374518	3.70297527048654	1.55732123847999	9.28571428571429	2.66666666666667	14.25	5.34375	2.4178525148859	8.43945894836549e-05	0.00563573692161419	14.0805800568907	2.30963484423724	0.985373817861064	-0.0308228911449868	mbOpen
chr12:3257776-3258170	2.39521842998937	2.96432872402035	3.27582370344347	30.1198925987979	20.5943603984947	22.2137332041067	20.7656574193361	27.9595191515648	22.7227706694285	18.9030511634059	7.75563377375923	8.96452092766263	4.79361571291853	15.1428571428571	3.33333333333333	24	7.2	2.84799690655495	1.35014231267634e-07	7.14576766735119e-05	23.1951136614664	7.17125680478013	0.961053886845148	0.185705974424845	mbOpen
chr15:85360027-85360767	6.21704837757037	4.57164135368954	7.75179903397435	24.6915927786542	28.2232278156762	32.763013710201	13.8553751847181	36.7896101407259	20.5881206332434	15.9967112762812	7.39482095746108	9.34917855453921	6.41518140806285	17.2857142857143	6.66666666666667	25.25	3.7875	1.92124588858559	4.87276902929835e-05	0.00396763591889105	24.4581473500835	7.71972697335438	0.957389095071757	0.0566669223329711	mbOpen
chr6:33714609-33714931	2.5237403298732	2.8350216025542	2.22683667901437	19.3048823607202	14.2430885715757	22.6506492816201	30.8766501387282	28.4263296591023	22.8796919876623	12.7137423212887	3.53386332688793	2.26165156271952	2.53642382526762	14	3	22.25	7.41666666666667	2.89077093024524	2.1349411640426e-07	9.7659071154193e-05	21.3399213226844	2.77731290495836	0.952723185593997	-0.0115681607813841	mbOpen
chr2:179773598-179773902	0.689850922087581	0.485760764137334	0.707606655239435	9.2945157298922	7.6592641276095	6.28750781782904	12.0939894372191	9.0856639072006	10.5878492878522	7.13888321211233	1.89258129829266	1.07800431394098	1.17539048152821	5.85714285714286	1	9.5	9.5	3.24792751344359	8.03712460062478e-05	0.00555233525335827	8.93746546905503	1.38199203125395	0.933819466947651	0.0449402389710529	mbOpen
chr11:11484904-11485328	1.79296159467102	1.55143489335114	1.52202186221312	11.9951863382005	7.15565327873866	11.388693405879	16.3652921111665	13.7607210412553	11.6399751919281	9.18993456379126	3.37728553691134	4.59451314516146	4.09327359065889	7.85714285714286	2	12.25	6.125	2.61470984411521	9.97623406325921e-05	0.00635704495052887	11.5302102656582	4.02169075757723	0.929776611283726	0.197238122690461	mbOpen
chr6:4397468-4397938	0.808740123553738	0.971145697896225	1.52562002264389	15.6306068785251	9.75803089371784	12.20044070183	20.1622061843384	15.9217156327272	15.9286641705472	10.179467512513	2.06743254448007	3.29262783359752	1.19468260493323	9.14285714285714	1.33333333333333	15	11.25	3.49185309632967	6.50641707824474e-07	0.00020475390805864	14.0099491052624	2.18491432767027	0.927557251604569	0.0623108044636786	mbOpen
chr11:112449987-112450412	0.86353103658963	1.10556032736283	1.85587188636915	10.1940790562206	8.46696834470286	8.99483471350601	15.1083687100385	10.9322950593745	14.2773110884976	6.26694688823722	1.65458610757925	1.58501863048473	1.80160692294744	7.14285714285714	1.66666666666667	11.25	6.75	2.75488750216347	0.000106046441934135	0.0066288600924187	10.4921843453698	1.68040388700381	0.920923583864672	0.00143344907865818	mbOpen
chr1:116693613-116693953	1.00231281032725	1.10556032736283	2.31983985796144	12.7425988202757	20.5448496599408	15.3859014836287	9.44273044377404	14.609979572436	15.5675985346093	11.3153207704283	3.45958913402935	5.40834059726208	1.65147301270182	9.57142857142857	2.33333333333333	15	6.42857142857143	2.68449817427207	1.77871195330078e-05	0.00196565319836684	13.8309662924912	3.50646758133108	0.907707865196675	0.0926158616840328	mbOpen
chr20:36193802-36194241	1.67198492278174	1.68190515145501	0.816675866335566	12.0144142585941	8.03622659899664	10.4266644450559	9.20057356781864	10.4129528038168	9.53147616983868	8.98828120307371	1.86393630673662	2.3639153065008	1.6278756555106	6.85714285714286	1.66666666666667	10.75	6.45	2.68929916053589	0.000179476603254767	0.00914856099972887	9.64423672557639	1.95190908958267	0.878264593641437	0.031402835550386	mbOpen
chr10:45459716-45460073	1.87245250280915	2.21864147327915	2.41022322905085	12.1358084002626	11.0679324767358	21.9798592623267	17.1158554894829	16.7630923255167	15.2269947056668	11.7436174052064	5.44365992103996	5.04880451795329	2.144770146366	10.4285714285714	2.66666666666667	16.25	6.09375	2.60733031374961	1.40103311018482e-05	0.00168342723418253	14.5779014787966	4.21241152845308	0.876900722365396	0.113797167738877	mbOpen
chr9:129890569-129891111	4.44966572623281	2.89794345166667	3.70427297010951	11.4689522512028	12.3671893103747	25.6140539884991	18.9169329090248	22.1024972488906	18.1676322780978	7.18917390230165	12.14852513574	12.0255602188218	3.57883786046755	11.7142857142857	4	17.5	4.375	2.12928301694497	0.000153450343151653	0.00835716378579362	15.8197678097634	9.25097440500976	0.875538356278768	0.38896106703776	mbOpen
chr3:195901497-195901924	0.859486394732068	1.5090953949951	2.01510466691136	19.851518373915	14.3760001168843	12.1332703557169	20.2522563495313	16.6977094321974	16.5834979009732	12.7062089957971	1.46718142177296	2.04660928298553	2.62998044177339	10.7142857142857	2	17.25	8.625	3.10852445677817	7.82000749395784e-07	0.000234017378465798	15.3291387763226	2.04792371551063	0.874041886971972	0.00314253872200845	mbOpen
chr12:52741716-52742038	1.50610310008562	1.29243631881147	2.44952034691581	16.3799001848535	8.98410202207084	16.4021943073801	10.6138484851878	14.1632940757632	11.2917573725518	10.5692556646858	1.42942786256141	2.94014703153538	2.69495031434685	8.71428571428571	2.33333333333333	13.5	5.78571428571429	2.53249508082702	7.28130184120772e-05	0.00518397121247207	12.0081023710003	2.35484173614788	0.866397227253756	0.00192612562518307	mbOpen
chr1:161981013-161981669	0.919100161439856	1.0027566993611	1.96749167554379	12.0602008982992	6.23836590437965	15.5654156953573	19.2606441191851	14.9486570846019	13.3385859230701	8.49622076297404	1.4032797919048	2.58107536955788	2.25658590704545	8.71428571428571	1.66666666666667	14	8.4	3.0703893278914	1.75757418804477e-05	0.00196565319836684	12.2611545902154	2.08031368950271	0.859012534341787	0.033538947797517	mbOpen
chr4:3709156-3709559	7.2203255319241	4.56371854382849	6.04948088383358	30.8494894300343	29.2387037544536	34.6983061708481	28.6539591069778	34.26850902964	29.5513967220251	18.8480688280087	11.4212350308877	12.1525890235508	8.35981376156754	20.7142857142857	6.66666666666667	31.25	4.6875	2.22881869049588	1.34217638862458e-06	0.00033297627242864	27.5559915265579	10.6445459386687	0.84973524853795	0.161812038183133	mbOpen
chr22:23455161-23455674	4.67565624970471	2.45987942512643	3.63412800715561	19.82830022377	22.8316560302254	12.6485537387906	26.3455920134726	21.9954975783851	18.4045577744393	14.1335465613537	6.23072032359722	5.07504911583738	5.77122945427608	13.5714285714286	4	20.75	5.1875	2.37503943134692	8.3660144145821e-06	0.00117237884818496	18.1778673047261	5.69233296457023	0.846439839088123	0.101034803854939	mbOpen
chr6:108108070-108108723	1.48534517068168	1.39797389896241	2.52556699001232	12.1156076405578	14.5870434728801	14.2504005672082	16.7322403308885	14.0992436334302	15.1524368005834	9.89485190864407	5.65848638906924	9.11708804153864	4.22122295882019	9.57142857142857	2.33333333333333	15	6.42857142857143	2.68449817427207	1.77871195330078e-05	0.00196565319836684	13.0488441142192	6.33226579647602	0.845961377438361	0.315705194458633	mbOpen
chr6:100586458-100587124	1.14146503925002	0.98770029246379	1.07663875471866	12.4447890293331	10.2764755935458	7.09940822673789	16.016875914994	10.8020352228635	11.4378447962463	9.03517951715882	1.80455132399102	2.81568827812146	2.06941335743963	7.71428571428571	1.66666666666667	12.25	7.35	2.877744249949	3.72936794451696e-05	0.00325826177149848	10.4250198454229	2.2298843198507	0.827560930276179	0.0532174160488854	mbOpen
chr15:92920256-92920716	2.33649507959228	1.66349061679283	1.55878567531006	16.7893976894748	8.74306513855187	13.9965391422977	23.8650775030587	14.452544447733	17.6225459322448	8.6851709592418	2.33473217551697	3.64125901597843	2.44130793182009	10.1428571428571	2.33333333333333	16	6.85714285714286	2.77760757866355	3.51147532454981e-05	0.00315476390894822	13.5867537797399	2.80576637443849	0.82342100827365	0.0345682713003776	mbOpen
