Fu_r1	Fu_r2	Fu_r3	Mb_r1	Mb_r2	Mb_r3	Mb_r4	Fd_r1	Fd_r2	Fd_r3	Fc_r1	Fc_r2	Fc_r3	baseMean_FuMb	baseMean_Fu	baseMean_Mb	FC_MbByFu	log2FC_MbByFu	pval_FuMb	padj_FuMb	baseMean_Fd	baseMean_Fc	crl_wFd	crl_wFc	mbStatus
chr21:37883746-37884113	7.21429928875241	7.82800403064612	12.3088852508135	1.02653325409164	0.576768960810822	0.822344346746032	0.846583901964448	1.45852704084499	1.49420208337193	2.41912118755751	5.5391952548758	5.8537951483032	7.37169771832718	4.85714285714286	9.66666666666667	1.25	0.129310344827586	-2.95109039951905	7.21254008318741e-05	0.00518397121247207	1.79061677059148	6.25489604050206	0.935768304484181	0.405358886276983	mbClosed
chr12:121971011-121971369	13.0705553198884	17.8120503660312	18.6270534049621	1.05233995601014	3.35052285521296	1.82653858395034	3.03753358121043	3.61836929065942	2.99693313175704	6.06206842592779	12.6425840469933	14.3412715433787	11.5494075088391	9	17	3	0.176470588235294	-2.50250034052918	6.48626965745762e-06	0.000996124585128093	4.22579028278142	12.8444210330704	0.912443551229899	0.296827069066402	mbClosed
chr12:12953338-12953724	7.13084243297784	14.6419231364467	11.7030074794004	0.488002207579833	0.913964631336665	0.13031104285656	1.60982534725882	1.41446894422258	2.10009614736596	3.45006791127049	8.11510967742297	9.15031410751056	7.14108443551707	5.71428571428571	11.6666666666667	1.25	0.107142857142857	-3.22239242133645	5.76319531028564e-06	0.000911087805346884	2.32154433428634	8.1355027401502	0.897131743908511	0.338991736945581	mbClosed
chr22:48824612-48824979	15.9643157528333	16.0583821002507	7.22902784571586	0	1.73030688243247	1.91880347574074	3.10414097386964	3.61714706129559	3.80047051640253	2.55351680908848	9.44101832749271	11.5587649962258	6.39807726496322	7	13.6666666666667	2	0.146341463414634	-2.77258950389693	9.35865179260221e-06	0.00125383418436013	3.3237114622622	9.13262019622724	0.886539017520383	0.388632554609093	mbClosed
chr1:211560281-211560672	6.73795568146412	14.3173495810652	7.88562165156853	0.9635235402855	0.360910841632688	0.257289322468708	1.58923934537572	1.58804125787348	2.71350620756018	3.02751057402764	8.79611982092527	9.87144387963462	9.00803461473721	5	10	1.25	0.125	-3	4.7228223250007e-05	0.00391707085260913	2.4430193464871	9.22519943843237	0.863654931830045	0.0885486356077294	mbClosed
chr5:72659751-72660264	10.2966637630109	13.8957018589589	11.4614806379523	1.46876297953852	2.47572173821721	0.392203216706685	3.33105186377239	2.65031137804072	4.92647253558225	4.13430273563408	11.5642169205964	9.72421998419191	8.85585209363054	6.71428571428571	12.3333333333333	2.5	0.202702702702703	-2.30256277002043	0.000174502333068453	0.0091189038440394	3.90369554975235	10.0480963328063	0.857251300025185	0.232396983104445	mbClosed
chr4:178103357-178103691	8.3980055365512	8.03871923232169	6.86985782651619	1.12795719835818	0.633755115621472	0	0.930228419224409	1.63468566607759	1.74890888214511	3.10115884772218	9.53165894581243	4.90588789577932	6.41889891708819	4.14285714285714	8.33333333333333	1	0.12	-3.05889368905357	0.000153531018558353	0.00835716378579362	2.16158446531496	6.95214858622665	0.841602118366142	0.188343374605457	mbClosed
chr9:2085650-2086027	8.62222160444742	12.1071214326585	12.933372924058	0	2.43303688066174	0.533687666234826	1.92296555627468	1.84579111720729	2.30833629429232	5.23323003733337	11.5984610917118	8.40290542148868	12.1859354204668	5.85714285714286	11.6666666666667	1.5	0.128571428571429	-2.95935801550265	1.57514447528424e-05	0.00184770024162066	3.12911914961099	10.7291006445558	0.839758772169411	0.0922196087322206	mbClosed
chr11:68941621-68942055	6.64418630029052	10.4242184257104	11.3999671277284	0.868059226386246	0.650304788379636	1.04308885457072	1.90904019674932	1.7513750738847	2.91161337644435	3.97767686305379	7.45326230487889	7.25734803875885	8.58599919883939	5.14285714285714	10	1.5	0.15	-2.73696559416621	0.000118293145373502	0.00705520570513419	2.88022177112761	7.76553651415904	0.837620968102634	0.26287805715776	mbClosed
chr7:144014694-144015068	6.69376736966799	15.93729822562	10.9281712317192	1.5109800972659	1.50926351955488	0.806952875015492	1.66147749743825	3.377699039082	2.51810050006989	4.08828605924566	10.7001126378576	8.47030840615303	7.50669551228101	5.85714285714286	11.3333333333333	1.75	0.154411764705882	-2.69514541847158	5.67750995749665e-05	0.00440494487909889	3.32802853279918	8.89237218543053	0.835336153099216	0.254708989346379	mbClosed
chr2:159846844-159847343	16.2591917728898	18.8590930735512	14.6569586944986	3.77492689630892	2.82797873904571	1.91523284230464	3.73582715856857	3.88318940850543	6.40253289675568	6.42486483290853	10.5050693840658	13.0983165003633	14.8328692887957	9.14285714285714	17	3.25	0.191176470588235	-2.38702312310925	1.27669523145857e-05	0.00159843990166613	5.57019571272321	12.8120850577416	0.83125849362013	0.304575632164248	mbClosed
chr16:17605200-17605595	11.9125902267326	15.0560123424403	10.1656503787309	0.953766339877546	4.10844455544654	1.52810316585212	1.04876385492305	3.74018027901952	2.95764843866565	6.61804869468089	13.0120154881434	8.48090707519026	12.1475437251899	7	13	2.5	0.192307692307692	-2.37851162325373	8.76247748225092e-05	0.00577615480393299	4.43862580412202	11.2134887628412	0.815368971035998	0.170143927348458	mbClosed
chr5:168610491-168611012	8.80519890956317	12.6001137940324	7.98241877490833	1.08465749784539	0.541712626020657	0.482726128048295	0.993910083240411	1.97262282929178	1.7389754030464	5.01752252283868	7.9510210090268	6.11535823220945	7.44618088435091	5	10	1.25	0.125	-3	4.7228223250007e-05	0.00391707085260913	2.90970691839228	7.17085337519572	0.810319209326596	0.323331042834774	mbClosed
chr1:244053805-244054388	12.0954650524515	11.1910554088112	10.4542915788376	0.969307986925293	2.17846526879147	1.81183758729893	2.75345484638351	2.49735854760396	3.12853088162493	6.68358877366637	9.95641320621914	7.27627230465672	11.0321384475512	6.42857142857143	12	2.25	0.1875	-2.41503749927884	0.000125158288717408	0.00726672655358762	4.10315940096509	9.42160798614237	0.809932369131786	0.264450462959757	mbClosed
chr5:169369206-169369543	9.76231171345897	17.0497179777277	13.6174036442517	1.67687405453248	1.25622675737431	1.04480842076684	1.69023699912487	3.24026713631997	3.7496741999313	5.85438493790706	10.5090989757091	8.31979062998039	10.7543993867337	7.14285714285714	14	2	0.142857142857143	-2.8073549220576	6.47434227426593e-06	0.000996124585128093	4.28144209138611	9.86109633080773	0.809879825717824	0.344908639099356	mbClosed
chr2:121192131-121192625	17.8299930631867	24.6752880468083	28.3042662095774	4.57576159010078	6.99867491380635	6.6184292819253	2.72540607035923	8.19172559790537	6.87757731518603	12.2808760152422	21.1969105408777	16.6215366012781	22.939488958177	13.4285714285714	24	5.5	0.229166666666667	-2.12553088208386	6.33070878289151e-06	0.000978098325237066	9.11672630944453	20.2526453667776	0.804501280570566	0.202559709903915	mbClosed
chr10:79005733-79006151	7.18072096172981	9.50645859072071	11.6647884984925	1.35192956071159	0.506397628271702	0.601675389265937	1.36270303517962	2.45869974655746	3.42233512334616	3.65794015827243	11.3784281691292	12.979607497148	10.8685457512738	5.14285714285714	10	1.5	0.15	-2.73696559416621	0.000118293145373502	0.00705520570513419	3.17965834272535	11.7421938058503	0.802393136149959	-0.204963977158863	mbClosed
chr14:69220398-69220716	8.86176420354643	12.7492064705318	11.2742360163935	0.59235488089879	0.887522887285415	0.158176297303875	1.95406472969152	2.86155666912953	1.76192861198267	5.11844456717488	9.12671210570088	10.9352275479855	11.7179989065921	5.57142857142857	11.3333333333333	1.25	0.110294117647059	-3.18057224564182	8.75844606241245e-06	0.00120363790785391	3.24730994942903	10.5933128534262	0.801919674436791	0.0733904608172387	mbClosed
chr4:143437853-143438411	5.35561683599175	8.68513022148706	11.436681997705	0.675157176078191	0.885137073072283	0.991578293851175	0.928005651197588	2.41739094705212	3.3114261147192	2.12142766029536	7.19467305495116	6.65606486791756	6.40356104631857	4.42857142857143	9	1	0.111111111111111	-3.16992500144231	6.27824383182404e-05	0.00461831514041389	2.61674824068889	6.7514329897291	0.797906469913888	0.281070876283863	mbClosed
